Date,Match,Team,Player,Position,PropType,Projected,SampleSize,RecentValues,Line,OverOdds,UnderOdds,ActualValue,HitOrMiss
2026-09-13T20:25Z,Miami Dolphins @ Las Vegas Raiders,Las Vegas Raiders,Kirk Cousins,QB,Passing Yards,159.8,5,234.0; 199.0; 48.0; 173.0; 29.0,,,,,
2026-09-13T20:25Z,Miami Dolphins @ Las Vegas Raiders,Las Vegas Raiders,Brock Bowers,TE,Receptions,4.8,5,12.0; 5.0; 4.0; 5.0; 5.0,,,,,
2026-09-13T20:25Z,Miami Dolphins @ Las Vegas Raiders,Las Vegas Raiders,Ashton Jeanty,RB,Rushing Yards,60.9,5,67.0; 138.0; 63.0; 43.0; 38.0,,,,,
2026-09-13T20:25Z,Green Bay Packers @ Minnesota Vikings,Green Bay Packers,Christian Watson,WR,Receptions,3.5,5,5.0; 4.0; 2.0; 2.0; 4.0,,,,,
2026-09-13T20:25Z,Green Bay Packers @ Minnesota Vikings,Green Bay Packers,Jordan Love,QB,Passing Yards,239.1,5,259.0; 337.0; 183.0; 292.0; 188.0,,,,,
2026-09-13T20:25Z,Green Bay Packers @ Minnesota Vikings,Green Bay Packers,Tucker Kraft,TE,Receptions,3.6,5,2.0; 5.0; 3.0; 6.0; 2.0,,,,,
2026-09-13T20:25Z,Green Bay Packers @ Minnesota Vikings,Minnesota Vikings,Justin Jefferson,WR,Receptions,4.7,5,7.0; 10.0; 5.0; 3.0; 4.0,,,,,
2026-09-13T20:25Z,Green Bay Packers @ Minnesota Vikings,Minnesota Vikings,Kyler Murray,QB,Passing Yards,205.5,5,220.0; 200.0; 159.0; 220.0; 163.0,,,,,
2026-09-13T20:25Z,Green Bay Packers @ Minnesota Vikings,Minnesota Vikings,T.J. Hockenson,TE,Receptions,3.4,5,6.0; 4.0; 5.0; 1.0; 3.0,,,,,
2026-09-13T20:25Z,Green Bay Packers @ Minnesota Vikings,Minnesota Vikings,Aaron Jones Sr.,RB,Rushing Yards,42.5,5,47.0; 78.0; 15.0; 23.0; 23.0,,,,,
2026-09-15T00:15Z,Denver Broncos @ Kansas City Chiefs,Denver Broncos,Jaylen Waddle,WR,Receptions,4.3,5,6.0; 3.0; 5.0; 5.0; 4.0,,,,,
2026-09-15T00:15Z,Denver Broncos @ Kansas City Chiefs,Denver Broncos,Bo Nix,QB,Passing Yards,218.0,5,242.0; 326.0; 153.0; 206.0; 176.0,,,,,
2026-09-15T00:15Z,Denver Broncos @ Kansas City Chiefs,Denver Broncos,Evan Engram,TE,Receptions,3.2,5,5.0; 4.0; 4.0; 1.0; 3.0,,,,,
2026-09-15T00:15Z,Denver Broncos @ Kansas City Chiefs,Denver Broncos,J.K. Dobbins,RB,Rushing Yards,70.7,5,79.0; 101.0; 83.0; 76.0; 63.0,,,,,
2026-09-15T00:15Z,Denver Broncos @ Kansas City Chiefs,Kansas City Chiefs,Rashee Rice,WR,Receptions,5.8,5,8.0; 6.0; 4.0; 9.0; 7.0,,,,,
2026-09-15T00:15Z,Denver Broncos @ Kansas City Chiefs,Kansas City Chiefs,Patrick Mahomes,QB,Passing Yards,239.8,5,318.0; 270.0; 224.0; 187.0; 258.0,,,,,
2026-09-15T00:15Z,Denver Broncos @ Kansas City Chiefs,Kansas City Chiefs,Kenneth Walker III,RB,Rushing Yards,60.1,5,86.0; 81.0; 38.0; 105.0; 20.0,,,,,
